id;username;date;country;book_state;quantity;price;note;created_by;created_date;last_modified_by;last_modified_date
210ce55a-44ae-4e23-801c-95ea0e506a4f;what limp;2025-06-16T05:19:35;Northern Mariana Islands;OTTIMO;12923;22908.71;../fake-data/blob/hipster.txt;down whereas midst;2025-06-16T03:59:46;greedily whose soggy;2025-06-16T11:19:45
dac94b60-4bd5-4177-8273-884ec23781af;but agile;2025-06-15T21:37:34;Guernsey;BUONO;29971;27146.73;../fake-data/blob/hipster.txt;impish;2025-06-16T06:08:12;fairly;2025-06-16T19:00:28
6a14eaaa-5b1b-4563-9e39-1d5cbac3ea1b;hm lest duffel;2025-06-16T05:29:27;Macedonia;PESSIMO;24629;15711.49;../fake-data/blob/hipster.txt;meh;2025-06-16T06:43:56;who;2025-06-16T16:30:48
0dc6bd51-ff63-4376-833a-7380f70bbd08;lovely rotating an;2025-06-16T08:39:46;Heard Island and McDonald Islands;BUONO;3426;2738.72;../fake-data/blob/hipster.txt;brr tusk duh;2025-06-16T07:31:15;disrespect;2025-06-16T19:37:33
59907a1c-05f0-44e6-8227-c7a6594e51f6;everlasting foolishly gleaming;2025-06-16T12:50:57;Korea;PESSIMO;27537;12635.04;../fake-data/blob/hipster.txt;juvenile unabashedly awful;2025-06-15T21:53:36;gadzooks though;2025-06-16T11:27:52
5c27a327-cd2e-4a68-91e1-1b434e925b09;jaggedly why;2025-06-15T23:01:04;Isole Cook;PESSIMO;13659;4058.8;../fake-data/blob/hipster.txt;hamburger disloyal compete;2025-06-16T09:50:16;orientate zowie absentmindedly;2025-06-16T04:16:31
00a48999-b3f3-411a-beb3-327d53f1828c;um;2025-06-15T23:41:06;Grecia;OTTIMO;13791;26159.1;../fake-data/blob/hipster.txt;waist yieldingly;2025-06-16T19:38:49;collaborate till hmph;2025-06-15T21:17:05
a951c731-b7f3-42bf-a061-2443042dce21;out hubris;2025-06-16T04:05:14;Martinica;PESSIMO;32672;15784.88;../fake-data/blob/hipster.txt;puzzled freckle;2025-06-16T15:43:56;fooey oof yieldingly;2025-06-16T01:32:05
f546a945-9a34-4634-83c9-0bdbe1f3250f;and considering;2025-06-15T21:46:26;Macedonia;PESSIMO;15262;30256.57;../fake-data/blob/hipster.txt;recommendation by alert;2025-06-16T18:53:45;vastly;2025-06-16T13:28:41
100a15a4-6b4f-4c83-a1b8-74c6fdd4869c;timely;2025-06-16T03:22:47;Brasile;PESSIMO;1975;12714.51;../fake-data/blob/hipster.txt;rally ha;2025-06-16T00:20:58;whether meh;2025-06-16T00:03:54
